         N        err       crit       rich
    0.0000        inf
    0.3010    -2.7668       -inf       -inf
    1.2788    -4.2636    -1.4642    -5.9495
    2.2625    -6.0101    -2.0119    -6.7165
    2.6180    -6.7543    -2.3606    -6.7999
    2.9196    -7.3444    -3.9170    -8.0678
    3.2212    -7.9402    -4.1936    -8.3507
    3.5221    -8.5380    -4.8315    -9.3051
    3.8231    -9.1386    -4.7762    -8.9341
