         N        err       crit       rich
    0.4771    -1.2482
    1.2041    -2.3727    -0.7127    -3.5231
    1.9445    -3.2446    -1.1635    -3.9278
    2.3075    -3.6422    -1.5414    -4.0787
    2.6160    -3.9604    -2.2697    -4.7326
    2.9186    -4.2674    -2.8359    -5.3248
    3.2206    -4.5712    -3.1337    -5.6221
    3.5218    -4.8734    -3.6437    -6.2522
    3.8230    -5.1753    -3.7320    -6.2184
