         N        err       crit       rich
    0.8451    -1.3501
    1.5911    -2.2929    -0.6869    -2.4948
    2.0000    -2.7456    -1.0727    -2.7074
    2.3118    -3.0733    -1.7810    -3.3489
    2.6170    -3.3844    -2.2151    -3.7969
    2.9186    -3.6899    -2.7123    -4.3391
    3.2206    -3.9935    -2.8114    -4.3938
    3.5219    -4.2955    -3.3148    -4.9426
    3.8230    -4.5971    -3.6156    -5.2432
