         N        err       crit       rich
    0.7782    -1.7913
    1.6335    -3.4625    -0.7238    -2.4291
    2.0128    -4.2272    -1.2016    -2.7839
    2.3181    -4.8321    -2.3706    -3.7904
    2.6180    -5.4321    -2.9881    -4.7374
    2.9201    -6.0350    -2.9548    -4.3762
    3.2212    -6.6363    -3.5998    -5.3208
    3.5221    -7.2381    -3.9025    -5.6169
    3.8232    -7.8403    -3.8517    -5.2735
