         N        err       crit       rich
    0.3010    -1.4334
    0.6990    -2.7492    -0.7922    -3.5825
    1.7782    -4.4849    -1.3968    -5.0945
    2.3075    -5.5581    -1.7204    -5.3584
    2.6191    -6.1787    -2.5201    -5.8644
    2.9196    -6.7715    -3.8194    -7.4133
    3.2209    -7.3711    -3.8104    -7.0434
    3.5221    -7.9719    -4.1056    -7.3399
    3.8232    -8.5732    -4.4037    -7.6387
