         N        err       crit       rich
    1.2304    -2.7418
    1.7076    -3.7141    -0.7309    -1.5239
    2.0170    -4.3304    -1.9007    -2.5503
    2.3160    -4.9327    -2.6622    -3.6546
    2.6180    -5.5392    -2.4955    -3.1488
    2.9196    -6.1435    -2.7973    -3.4523
    3.2209    -6.7466    -3.0988    -3.7546
    3.5222    -7.3492    -3.4000    -4.0562
    3.8231    -7.9512    -4.1694    -5.1602
