         N        err       crit       rich
    0.3010    -1.4974
    1.2553    -3.0764    -0.8221    -3.4714
    1.9956    -4.4736    -1.2395    -3.9037
    2.3139    -5.1145    -1.9144    -4.3326
    2.6191    -5.7194    -2.5912    -4.9659
    2.9196    -6.3176    -3.5189    -6.1457
    3.2209    -6.9193    -3.4927    -5.8079
    3.5222    -7.5210    -3.7916    -6.1076
    3.8232    -8.1225    -4.4407    -7.0238
