         N        err       crit       rich
    0.6990    -2.4453
    1.6902    -5.9557    -0.7804    -2.4952
    2.0128    -7.2600    -1.5939    -3.0755
    2.3181    -8.4849    -2.3623    -3.7720
    2.6180    -9.6917    -3.0079    -4.7087
    2.9201   -10.9018    -2.9520    -4.3709
    3.2209   -12.1068    -3.6048    -5.3123
    3.5222   -13.3120    -3.5510    -4.9721
    3.8231   -14.5056    -4.2056    -5.9148
