         N        err       crit       rich
    0.3010        inf
    0.4771    -2.3509    -0.9265    -6.7701
    1.1461    -3.5610    -1.2497    -6.0513
    2.1335    -4.7689    -1.8182    -6.6581
    2.6042    -5.3537    -2.1618    -6.8288
    2.9170    -5.6838    -2.8048    -7.1067
    3.2201    -5.9905    -3.5425    -7.8224
    3.5215    -6.2935    -4.0881    -8.4279
    3.8228    -6.5959    -4.2508    -8.5423
