         N        err       crit       rich
    1.2553    -1.6126
    1.6902    -2.1073    -0.7432    -1.5501
    2.0128    -2.4417    -1.4209    -2.1952
    2.3139    -2.7524    -2.1696    -3.0866
    2.6170    -3.0604    -2.1909    -2.9861
    2.9196    -3.3645    -2.4928    -3.2896
    3.2209    -3.6665    -3.0780    -3.9886
    3.5221    -3.9681    -3.3791    -4.2893
    3.8231    -4.2694    -3.6801    -4.5902
