         N        err       crit       rich
    0.0000    -1.6098
    0.6990    -3.0405    -0.7739    -3.7867
    1.7993    -6.0723    -1.4342    -4.9201
    2.3160    -8.1717    -1.7532    -5.3778
    2.6180    -9.3745    -3.2144    -6.4299
    2.9201   -10.5791    -3.5081    -6.7388
    3.2212   -11.7793    -4.1667    -7.6608
    3.5222   -12.9816    -4.4677    -7.9586
    3.8231   -14.1850    -4.7688    -8.2581
