         N        err       crit       rich
    0.0000    -1.6818
    1.3424    -4.3567    -0.8767    -3.4420
    2.0043    -6.8894    -1.2653    -3.8898
    2.3160    -8.1588    -2.1173    -4.5083
    2.6191    -9.3715    -2.8965    -5.2034
    2.9196   -10.5747    -3.5430    -6.1135
    3.2209   -11.7819    -3.4878    -5.8014
    3.5221   -12.9877    -3.7886    -6.1038
    3.8232   -14.1908    -4.0896    -6.4055
