         N        err       crit       rich
    1.2304    -4.9864
    1.7076    -6.9658    -0.7308    -1.5182
    2.0170    -8.2090    -1.9015    -2.5435
    2.3160    -9.4177    -2.6711    -3.6374
    2.6180   -10.6328    -2.4961    -3.1477
    2.9196   -11.8424    -2.7978    -3.4521
    3.2212   -13.0475    -3.0993    -3.7548
    3.5221   -14.2532    -3.8689    -4.8581
    3.8232   -15.0521    -3.7008    -4.3570
